ingenio,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,alcohol_96_gl_producido,miel_final_85_brix_producida,karbe_ton_cana_bruta_teorico,karbe_ton_cana_neta_teorico,extraccion_de_jugo_mezclado_en_cana,extraccion_pol_por_pol_cana,bagazo_en_cana,fibra_en_cana,pol_en_cana,brix_en_jugo_mezclado,pol_en_jugo_mezclado,pza_aparente_jugo_mezclado,pol_en_bagazo,humedad_en_bagazo,materia_extrana_en_cana,perdidas_de_bagazo,perdidas_de_miel_final_producida_y_estimada,perdidas_en_cachaza,perdidas_indeterminadas,perdidas_totales,consumo_de_petroleo_en_pruebas,consumo_de_petroleo_en_molienda,consumo_de_petroleo_en_liquidacion,consumo_de_petroleo_en_fabrica_alcohol,consumo_de_petroleo_total,tiempo_perdido_en_fabrica_h,tiempo_perdido_por_personal_h,tiempo_perdido_por_dias_festivos_h,tiempo_perdido_en_campo_h,tiempo_perdido_por_lluvias_h,tiempo_perdido_total_h,eficiencia_en_fabrica,cluster,cluster_name,class_id
fideicomiso_ingenio_emiliano_zapata,610571.4311538462,610571.4311538462,5597.123076923077,82963.45192307692,0.0,82963.45192307692,0.0,0.0,0.0,18583.09446153846,140.91819888461538,140.91826923076923,92.46638461538463,91.95092307692309,26.38376923076923,12.019923076923076,16.02907692307692,17.99107692307692,15.316423076923076,88.60934615384615,2.4525384615384613,49.36861538461539,0.0,4273.496576923077,6580.976884615385,629.2245769230769,3877.1088076923074,15360.806846153846,0.0,0.0,0.0,0.0,0.0,142.7948717948718,23.150641025641026,0.0,90.9198717948718,50.42948717948718,307.2948717948718,84.47457692307692,2,Eficientes,1
fideicomiso_ingenio_la_providencia,477501.67124999996,461629.97212500003,8452.72125,51789.82958333333,0.0,51789.82958333333,0.0,0.0,0.0,15283.655166666666,106.18544945833332,109.66087499999999,94.87166666666667,95.32841666666667,26.556,12.813208333333334,12.562791666666667,15.247333333333332,12.6235,82.76954166666667,2.2072083333333334,48.72541666666667,15871.699125,2791.5669166666667,5108.720541666667,268.05554166666667,841.1615416666667,9009.504541666667,0.0,0.0,0.0,0.0,0.0,88.57291666666667,65.55486111111111,0.0,28.600694444444443,161.5347222222222,344.2673611111111,84.69008333333333,2,Eficientes,1
fideicomiso_ingenio_plan_de_san_luis,623559.168275862,600120.8006896551,10019.324103448274,71828.56206896552,71828.56206896552,0.0,0.0,0.0,0.0,18892.37027586207,112.79641803448276,117.19027586206897,93.08768965517241,93.5633103448276,26.56148275862069,13.712551724137931,13.412999999999998,16.248689655172413,13.007310344827586,82.94368965517242,1.456344827586207,48.063206896551726,21869.322413793103,2806.042827586207,6766.261448275862,646.2014137931035,2419.1530344827584,12637.658724137931,0.0,101229.31034482758,1111.0344827586207,0.0,102340.3448275862,326.3735632183908,2.3666666666666663,0.0,33.9683908045977,287.24712643678157,649.9712643678162,84.09072413793103,2,Eficientes,1
fideicomiso_ingenio_san_cristobal,1455829.5696296298,1403722.9925185186,26255.20692592593,151088.4345185185,59037.93837037037,92050.49614814816,0.0,0.0,0.0,46081.32003703704,105.93253348148149,109.79103703703704,92.572,90.65696296296295,27.184703703703704,13.202037037037037,12.73688888888889,15.456185185185186,11.997592592592593,80.71814814814815,2.538925925925926,49.46637037037038,48485.68196296296,10928.413777777778,17531.110444444446,1034.314962962963,5683.62437037037,35177.46355555556,0.0,612743.925925926,1023.7037037037037,0.0,613767.6296296297,446.8969135802469,12.928395061728395,0.0,27.298148148148147,166.68271604938272,653.7888888888889,81.49937037037037,0,Gigantes,0
fideicomiso_ingenio_san_miguelito,269051.39808333333,263653.5796666667,3825.76925,27824.774999999998,0.0,27824.774999999998,0.0,0.0,0.0,8529.346375,106.14211120833333,108.109625,94.22291666666666,94.494875,27.460166666666666,12.973999999999998,12.509375,15.012208333333334,12.545375,83.56779166666666,2.506,49.30625,5397.818416666666,1820.545,2734.0047083333334,452.3968333333333,758.4559166666667,5765.402458333334,0.0,0.0,0.0,0.0,0.0,78.60069444444444,23.055555555555557,0.0,43.0625,359.2638888888889,503.9826388888889,82.683,2,Eficientes,1
grupo_azucarero_san_pedro_s.a._de_c.v.,571829.6692692308,546198.9562692308,8872.794346153845,58422.4276923077,0.0,58422.4276923077,0.0,0.0,0.0,16654.43726923077,100.45692396153846,105.07569230769231,89.43273076923077,88.69376923076923,23.476230769230767,12.382846153846154,12.04823076923077,14.881423076923076,11.025538461538462,80.27192307692309,1.7022307692307694,48.65634615384616,23196.29446153846,2529.8882692307693,5799.488653846153,595.600153846154,2298.191846153846,11222.737038461539,0.0,162468.57692307694,1166.3076923076924,0.0,163634.88461538462,124.62884615384615,7.0858974358974365,20.326923076923077,46.30128205128205,563.9583333333333,762.301282051282,82.52269230769231,2,Eficientes,1
impulsora_azucarera_del_tropico_s.a_de_c.v. (la_joya),429478.2737727273,412087.06709090905,7424.290454545455,46256.431818181816,0.0,37775.58409090909,0.0,8480.847727272727,0.0,15376.918636363638,107.44602118181818,112.09345454545455,88.0100909090909,91.64495454545455,24.424636363636363,12.551136363636363,12.765863636363635,16.225409090909093,12.648272727272728,81.83331818181819,1.8917727272727272,47.99922727272727,16061.448863636364,2219.2657727272726,5664.615727272728,617.7677727272727,1347.4646818181818,9849.113954545453,0.0,0.0,0.0,0.0,0.0,125.76515151515152,22.973484848484848,70.31439393939394,73.61212121212121,69.98484848484848,362.65000000000003,80.64827272727273,2,Eficientes,1
ingeio_el_mante_s.a._de_c.v.,441430.7883870968,404933.63238709676,6929.120967741936,42301.819354838706,34084.495161290324,8217.324193548387,0.0,0.0,0.0,13255.156064516128,104.31352919354838,113.74990322580645,91.1345806451613,90.60367741935484,28.9118064516129,13.652903225806451,12.725129032258064,15.479,12.247032258064516,79.10032258064517,2.6279032258064516,50.68074193548387,34443.308774193545,3406.7999032258067,5881.1775806451615,588.1759677419356,2493.0724193548385,12369.22587096774,160092.0,244012.48387096773,0.0,96353.45161290323,500457.93548387097,517.505376344086,2.7580645161290325,0.0,199.68548387096774,187.9263440860215,974.3360215053764,76.23361290322582,0,Gigantes,0
ingenio_adolfo_lopez_mateos_s.a._de_c.v.,782142.5721428571,741814.0336071429,14258.197607142856,82779.62321428572,82779.62321428572,0.0,0.0,0.0,0.0,22134.643357142857,106.28382839285715,111.90503571428572,98.55464285714287,95.38607142857143,27.730821428571428,12.888499999999999,12.636107142857142,14.895642857142857,12.230214285714284,82.1027142857143,2.101607142857143,50.54071428571429,40328.53853571428,4524.9115357142855,7729.687285714286,1481.7700357142858,1932.985107142857,15669.353964285716,114508.0,2222098.1428571427,2048.1428571428573,0.0,2338654.285714286,201.64107142857142,8.846428571428572,0.0,11.724404761904763,132.30892857142857,354.54226190476186,83.47678571428571,0,Gigantes,0
ingenio_alianza_popular_s.a._de_c.v.,614693.0335483871,589543.9948387097,9968.621935483872,66829.64967741935,0.0,66829.64967741935,0.0,0.0,0.0,17628.97964516129,106.21920203225807,110.76783870967742,98.73712903225807,92.83090322580645,23.26958064516129,13.453354838709677,12.597225806451613,14.250935483870968,11.442354838709678,83.04729032258064,2.059774193548387,41.373064516129034,23670.481064516127,3196.7140000000004,5863.396677419355,1034.1619032258066,1883.6387096774195,11977.911290322581,0.0,0.0,0.0,0.0,0.0,81.47365591397849,10.111290322580645,0.0,39.98118279569893,561.1795698924731,692.7456989247311,84.58803225806452,2,Eficientes,1
